id,date,amount,merchant,description,category
4597,2026-06-05,54.65,Starbucks Coffee,Starbucks Coffee - Monthly subscription,Entertainment
4598,2026-08-04,20.84,Starbucks Coffee,Starbucks Coffee - Monthly subscription,Shopping
4599,2025-02-28,40.74,Gas Station,Hotel stay,Travel
4600,2024-02-07,16.33,Electric Company,Prescription purchase,Bills
4601,2024-04-02,13.34,Graham Inc,Prescription purchase,Travel
4602,2024-08-27,18.93,Delta Airlines,Delta Airlines - Taxi ride,Travel
4603,2025-07-29,67.53,Cox-Andrews,Electric bill payment,Bills
4604,2024-06-14,36.31,Anderson and Sons,Anderson and Sons - Taxi ride,Travel
4605,2026-08-24,3.15,Hilton Hotels,Monthly subscription,Travel
4606,2025-05-05,12.42,Williams Inc,Gas refill,Bills
4607,2026-01-24,96.97,Morris-Vega,Morris-Vega - Prescription purchase,Travel
4608,2026-08-29,35.09,Local High School,Local High School - Prescription purchase,Education
4609,2024-01-09,3.07,City Hospital,City Hospital - Hotel stay,Travel
4610,2023-10-30,10.76,Coleman Inc,Coleman Inc - Lunch with friends,Education
4611,2026-05-22,27.04,Thompson PLC,Thompson PLC - Lunch with friends,Shopping
4612,2024-06-22,5.12,"Thompson, Smith and Woodward","Thompson, Smith and Woodward - Monthly subscription",Food
4613,2025-07-01,9.34,Mason and Sons,Mason and Sons - Lunch with friends,Utilities
4614,2025-08-13,10.74,Walmart Supercenter,Lunch with friends,Shopping
4615,2026-07-05,33.8,Carpenter Ltd,Online purchase,Others
4616,2025-12-15,94.9,Rivera-Bishop,Electric bill payment,Bills
4617,2026-05-19,35.13,Uber Eats,Electric bill payment,Transport
4618,2024-03-30,37.76,"Roberts, Aguirre and Soto","Roberts, Aguirre and Soto - Gas refill",Bills
4619,2026-03-29,137.23,Robinson-Reed,Hotel stay,Travel
4620,2024-10-24,64.49,Wilson-Fleming,Wilson-Fleming - Monthly subscription,Entertainment
4621,2024-02-12,22.41,CVS Pharmacy,Lunch with friends,Health
4622,2026-03-24,37.29,Local Taxi,Flight booking,Others
4623,2025-10-16,83.95,Starbucks Coffee,Starbucks Coffee - Electric bill payment,Bills
4624,2025-01-27,32.23,Long-Shaw,Long-Shaw - Course fee,Shopping
4625,2025-01-18,3.54,Local High School,Local High School - Gas refill,Education
4626,2023-12-15,113.81,State University,State University - Electric bill payment,Education
4627,2024-09-04,14.1,Local High School,Local High School - Gas refill,Education
4628,2024-09-25,13.42,Young-Barrera,Flight booking,Travel
4629,2023-12-22,1.37,Young-Barnes,Electric bill payment,Bills
4630,2023-11-03,51.9,Lyft,Taxi ride,Transport
4631,2026-07-23,10.13,Uber Eats,Uber Eats - Electric bill payment,Transport
4632,2026-06-12,29.4,Joe's Pizza,Joe's Pizza - Grocery shopping,Food
4633,2025-02-22,25.99,Acosta Ltd,Acosta Ltd - Hotel stay,Travel
4634,2023-09-13,6.67,Ashley Group,Online purchase,Shopping
4635,2023-10-15,7.32,Joe's Pizza,Joe's Pizza - Electric bill payment,Food
4636,2024-12-02,8.32,Uber Eats,Grocery shopping,Transport
4637,2023-10-06,5.17,Watts Ltd,Watts Ltd - Taxi ride,Others
4638,2026-07-20,68.24,Delta Airlines,Delta Airlines - Prescription purchase,Travel
4639,2026-01-12,57.73,Starbucks Coffee,Starbucks Coffee - Online purchase,Transport
4640,2025-12-31,34.5,Wolf PLC,Flight booking,Entertainment
4641,2026-06-24,82.63,Hilton Hotels,Hilton Hotels - Lunch with friends,Travel
4642,2025-02-20,14.14,"Young, Fischer and Nunez","Young, Fischer and Nunez - Online purchase",Transport
4643,2023-10-06,94.17,Glover LLC,Glover LLC - Online purchase,Entertainment
4644,2025-04-10,37.06,"Young, White and Hill",Monthly subscription,Shopping
4645,2026-05-23,127.32,Starbucks Coffee,Course fee,Shopping
4646,2024-01-21,15.25,Thornton-Thomas,Thornton-Thomas - Electric bill payment,Bills
4647,2024-09-23,11.75,Clark Inc,Lunch with friends,Shopping
4648,2025-12-03,4.58,Delta Airlines,Delta Airlines - Prescription purchase,Travel
4649,2025-07-18,8.81,"Wallace, Chavez and Lopez","Wallace, Chavez and Lopez - Flight booking",Shopping
4650,2024-09-30,19.31,"Long, Watson and Edwards","Long, Watson and Edwards - Electric bill payment",Bills
4651,2026-08-11,48.04,Spotify,Spotify - Course fee,Entertainment
4652,2026-02-05,48.28,Mall Outlet,Mall Outlet - Online purchase,Transport
4653,2024-07-11,98.35,Lyft,Gas refill,Transport
4654,2026-01-28,1.5,Harrington-Wood,Online purchase,Utilities
4655,2025-09-05,30.52,Starbucks Coffee,Starbucks Coffee - Lunch with friends,Shopping
4656,2023-11-08,26.8,Woods Inc,Woods Inc - Monthly subscription,Food
4657,2024-02-01,2.3,Hilton Hotels,Electric bill payment,Travel
4658,2025-10-13,48.99,Local Taxi,Local Taxi - Online purchase,Others
4659,2026-01-22,17.52,Smith and Sons,Smith and Sons - Prescription purchase,Health
4660,2024-03-06,16.39,CVS Pharmacy,Gas refill,Health
4661,2026-02-22,67.71,Local Taxi,Taxi ride,Bills
4662,2024-03-30,34.52,State University,State University - Flight booking,Education
4663,2024-04-27,20.19,Walmart Supercenter,Walmart Supercenter - Hotel stay,Travel
4664,2025-12-04,51.65,"Bass, Jackson and Mullen",Grocery shopping,Travel
4665,2025-03-23,1.14,Jones and Sons,Jones and Sons - Prescription purchase,Transport
4666,2024-07-08,28.12,Electric Company,Prescription purchase,Bills
4667,2025-04-20,9.34,Fowler-Shea,Electric bill payment,Bills
4668,2023-11-25,111.9,Hilton Hotels,Hilton Hotels - Online purchase,Travel
4669,2026-03-28,6.11,Waterworks,Electric bill payment,Bills
4670,2025-04-15,53.34,Netflix Streaming,Netflix Streaming - Electric bill payment,Entertainment
4671,2024-05-28,16.97,Nash-Mora,Electric bill payment,Bills
4672,2025-02-11,15.22,Uber Eats,Uber Eats - Course fee,Transport
4673,2023-11-03,30.83,Spotify,Spotify - Monthly subscription,Entertainment
4674,2023-11-29,45.94,Joe's Pizza,Joe's Pizza - Prescription purchase,Food
4675,2025-06-12,10.32,Jones-Ware,Taxi ride,Others
4676,2025-03-15,7.18,Starbucks Coffee,Starbucks Coffee - Flight booking,Bills
4677,2025-02-20,20.46,"Harvey, Brown and Harding",Flight booking,Entertainment
4678,2025-10-28,38.18,Mall Outlet,Course fee,Travel
4679,2026-05-28,133.59,Electric Company,Electric Company - Taxi ride,Bills
4680,2026-06-05,57.38,Mall Outlet,Mall Outlet - Online purchase,Others
4681,2026-07-07,9.44,Local High School,Monthly subscription,Education
4682,2023-12-11,29.89,State University,State University - Online purchase,Education
4683,2026-02-24,15.61,Spotify,Taxi ride,Entertainment
4684,2026-03-26,33.14,Walmart Supercenter,Walmart Supercenter - Lunch with friends,Shopping
4685,2026-08-30,50.7,Uber Eats,Uber Eats - Monthly subscription,Transport
4686,2025-02-24,24.3,Joe's Pizza,Flight booking,Food
4687,2025-04-27,38.82,Gas Station,Gas Station - Monthly subscription,Bills
4688,2023-11-03,33.03,Waterworks,Waterworks - Taxi ride,Bills
4689,2025-06-24,6.11,Rivera-Dominguez,Rivera-Dominguez - Monthly subscription,Shopping
4690,2024-03-26,30.57,Lyft,Lyft - Course fee,Transport
4691,2024-12-27,58.52,Amazon Marketplace,Amazon Marketplace - Gas refill,Shopping
4692,2024-10-19,38.45,Corner Grocery,Corner Grocery - Hotel stay,Travel
4693,2025-01-16,17.72,Schultz-Jones,Schultz-Jones - Online purchase,Shopping
4694,2023-10-19,16.96,"Navarro, Johnson and Bowers","Navarro, Johnson and Bowers - Gas refill",Bills
4695,2025-04-14,91.68,"Acosta, Pacheco and Shaw","Acosta, Pacheco and Shaw - Course fee",Utilities
4696,2024-05-19,1.53,Waterworks,Waterworks - Monthly subscription,Bills
4697,2024-11-01,24.36,"Knight, Johnson and Cooper",Course fee,Shopping
4698,2025-12-05,26.08,Johnson Inc,Monthly subscription,Food
4699,2026-04-13,22.19,City Hospital,City Hospital - Flight booking,Health
4700,2025-01-03,25.22,Lyft,Lyft - Lunch with friends,Transport
4701,2024-02-29,40.01,Corner Grocery,Flight booking,Travel
4702,2026-03-15,22.25,Zimmerman-Brown,Lunch with friends,Food
4703,2025-05-14,38.79,Amazon Marketplace,Course fee,Shopping
4704,2024-04-23,2.71,Harris-Cisneros,Prescription purchase,Others
4705,2024-01-14,24.2,Delta Airlines,Delta Airlines - Lunch with friends,Travel
4706,2024-08-02,2.84,Long Ltd,Long Ltd - Course fee,Shopping
4707,2025-02-26,18.95,Waterworks,Waterworks - Monthly subscription,Bills
4708,2025-03-30,13.21,City Hospital,Flight booking,Food
4709,2024-10-23,24.21,Combs Inc,Course fee,Utilities
4710,2023-11-23,5.78,Starbucks Coffee,Lunch with friends,Shopping
4711,2025-12-12,39.62,Local High School,Local High School - Lunch with friends,Education
4712,2024-09-30,92.42,Schwartz-Carrillo,Prescription purchase,Food
4713,2025-08-27,76.2,Local Taxi,Hotel stay,Travel
4714,2025-09-17,87.43,Garcia-Chapman,Gas refill,Bills
4715,2023-12-01,70.74,Gas Station,Prescription purchase,Bills
4716,2024-01-06,28.33,State University,Taxi ride,Education
4717,2026-07-30,36.12,Jimenez and Sons,Jimenez and Sons - Online purchase,Food
4718,2024-03-14,20.74,Smith-Hudson,Monthly subscription,Shopping
4719,2024-04-09,11.67,Corner Grocery,Corner Grocery - Course fee,Others
4720,2025-06-23,80.23,Waterworks,Gas refill,Bills
4721,2024-05-21,13.2,"Lucas, Sullivan and Smith","Lucas, Sullivan and Smith - Hotel stay",Travel
4722,2026-01-22,74.65,Waterworks,Waterworks - Flight booking,Bills
4723,2026-02-17,136.45,Netflix Streaming,Hotel stay,Travel
4724,2026-07-02,19.72,Netflix Streaming,Netflix Streaming - Flight booking,Entertainment
4725,2023-09-22,16.29,Netflix Streaming,Netflix Streaming - Course fee,Entertainment
4726,2025-08-10,3.6,Electric Company,Electric Company - Hotel stay,Travel
4727,2023-11-21,50.16,Payne Group,Payne Group - Electric bill payment,Bills
4728,2024-06-16,32.86,CVS Pharmacy,CVS Pharmacy - Lunch with friends,Health
4729,2024-06-23,17.88,Spotify,Taxi ride,Entertainment
4730,2026-08-20,40.18,Lyft,Hotel stay,Transport
4731,2026-02-27,53.25,Netflix Streaming,Netflix Streaming - Taxi ride,Entertainment
4732,2026-07-08,114.07,Gas Station,Gas Station - Flight booking,Bills
4733,2025-06-27,4.18,Amazon Marketplace,Amazon Marketplace - Taxi ride,Shopping
4734,2023-12-10,27.75,Gas Station,Gas Station - Course fee,Bills
4735,2026-03-06,20.1,Gas Station,Course fee,Bills
4736,2025-06-08,52.1,Uber Eats,Electric bill payment,Transport
4737,2026-08-27,16.13,Netflix Streaming,Monthly subscription,Entertainment
4738,2024-06-24,18.29,CVS Pharmacy,CVS Pharmacy - Online purchase,Health
4739,2025-07-11,21.33,CVS Pharmacy,CVS Pharmacy - Course fee,Health
4740,2026-06-03,65.71,Gutierrez-Baker,Gutierrez-Baker - Electric bill payment,Bills
4741,2025-06-24,23.31,Mall Outlet,Mall Outlet - Taxi ride,Utilities
4742,2024-11-15,32.82,Mall Outlet,Mall Outlet - Electric bill payment,Bills
4743,2025-09-09,11.41,"Lewis, Smith and Hill","Lewis, Smith and Hill - Hotel stay",Travel
4744,2024-07-23,63.21,Netflix Streaming,Netflix Streaming - Electric bill payment,Entertainment
4745,2024-03-08,26.55,Hardin-Mcdaniel,Flight booking,Utilities
4746,2026-08-01,30.55,"Thomas, Hudson and Carpenter",Grocery shopping,Shopping
4747,2024-04-09,80.36,Uber Eats,Hotel stay,Transport
4748,2024-06-14,2.44,Foster Group,Prescription purchase,Travel
4749,2025-05-06,20.6,Local High School,Local High School - Monthly subscription,Education
4750,2025-07-05,55.42,Mclean and Sons,Hotel stay,Travel
4751,2024-08-23,172.46,Corner Grocery,Corner Grocery - Flight booking,Travel
4752,2025-02-24,60.72,"Jackson, Stone and Taylor","Jackson, Stone and Taylor - Grocery shopping",Entertainment
4753,2026-07-10,36.98,Walmart Supercenter,Walmart Supercenter - Monthly subscription,Shopping
4754,2025-11-04,32.77,Burke-Miles,Burke-Miles - Grocery shopping,Utilities
4755,2023-12-25,107.71,State University,State University - Lunch with friends,Education
4756,2023-12-13,25.16,Joe's Pizza,Flight booking,Food
4757,2026-04-12,72.8,Thompson-Anderson,Monthly subscription,Travel
4758,2025-01-16,2.39,Gas Station,Gas Station - Electric bill payment,Bills
4759,2024-08-01,12.41,Waterworks,Waterworks - Monthly subscription,Bills
4760,2025-08-15,2.43,City Hospital,City Hospital - Electric bill payment,Bills
4761,2025-11-18,18.42,Mall Outlet,Flight booking,Shopping
4762,2025-02-26,2.48,City Hospital,Online purchase,Entertainment
4763,2024-06-14,2.69,Uber Eats,Prescription purchase,Transport
4764,2026-01-01,16.51,Gas Station,Gas Station - Course fee,Bills
4765,2024-05-06,68.06,Waterworks,Prescription purchase,Bills
4766,2023-09-28,4.66,Howard LLC,Prescription purchase,Food
4767,2025-02-16,4.25,Joe's Pizza,Prescription purchase,Food
4768,2025-03-26,18.31,Delta Airlines,Hotel stay,Travel
4769,2024-09-21,14.21,Waterworks,Waterworks - Course fee,Bills
4770,2025-11-14,40.09,Delta Airlines,Delta Airlines - Monthly subscription,Travel
4771,2025-08-29,40.98,CVS Pharmacy,CVS Pharmacy - Taxi ride,Health
4772,2024-07-08,28.33,Amazon Marketplace,Amazon Marketplace - Lunch with friends,Shopping
4773,2024-08-01,109.71,Spotify,Spotify - Electric bill payment,Entertainment
4774,2025-04-07,22.26,Miller Inc,Miller Inc - Online purchase,Travel
4775,2026-03-01,30.93,Corner Grocery,Grocery shopping,Transport
4776,2024-10-19,62.68,"Browning, Drake and Garcia",Gas refill,Bills
4777,2026-03-07,4.7,Starbucks Coffee,Monthly subscription,Shopping
4778,2024-08-09,68.16,Spotify,Prescription purchase,Entertainment
4779,2026-06-14,62.08,Local High School,Local High School - Taxi ride,Education
4780,2026-01-07,141.36,Hilton Hotels,Gas refill,Travel
4781,2024-12-01,29.23,Netflix Streaming,Netflix Streaming - Taxi ride,Entertainment
4782,2026-01-03,14.66,Netflix Streaming,Netflix Streaming - Prescription purchase,Entertainment
4783,2024-01-26,27.8,Spotify,Spotify - Course fee,Entertainment
4784,2023-10-30,4.44,Hilton Hotels,Flight booking,Travel
4785,2025-08-20,31.43,Walmart Supercenter,Walmart Supercenter - Flight booking,Shopping
4786,2024-01-05,17.38,City Hospital,City Hospital - Monthly subscription,Others
4787,2024-08-10,4.65,Rogers-Hill,Rogers-Hill - Flight booking,Shopping
4788,2025-06-04,19.2,Amazon Marketplace,Grocery shopping,Shopping
4789,2026-04-22,11.5,City Hospital,City Hospital - Online purchase,Food
4790,2025-12-23,1.52,Uber Eats,Uber Eats - Taxi ride,Transport
4791,2026-01-05,28.51,Delta Airlines,Lunch with friends,Travel
4792,2025-10-27,28.29,Lyft,Lyft - Flight booking,Transport
4793,2024-06-09,27.55,"Walker, Griffin and Schwartz",Course fee,Others
4794,2024-05-11,28.67,Miller-Nichols,Miller-Nichols - Course fee,Entertainment
4795,2026-07-29,39.57,Electric Company,Gas refill,Bills
4796,2026-01-01,16.45,Johnson-Villarreal,Johnson-Villarreal - Course fee,Bills
4797,2024-03-30,15.12,CVS Pharmacy,CVS Pharmacy - Flight booking,Health
4798,2025-12-03,10.67,"Davis, Massey and Hernandez","Davis, Massey and Hernandez - Lunch with friends",Others
4799,2026-06-01,23.61,Allen Inc,Allen Inc - Electric bill payment,Bills
4800,2026-04-13,9.04,Waterworks,Online purchase,Bills
4801,2026-01-24,4.34,Delta Airlines,Delta Airlines - Gas refill,Travel
4802,2026-04-06,54.61,Underwood-Ramirez,Underwood-Ramirez - Electric bill payment,Bills
4803,2025-06-20,31.34,Netflix Streaming,Netflix Streaming - Hotel stay,Travel
4804,2024-09-10,17.12,Starbucks Coffee,Electric bill payment,Bills
4805,2024-06-07,39.07,Blanchard-Stevens,Blanchard-Stevens - Flight booking,Others
4806,2023-10-28,14.53,Joe's Pizza,Joe's Pizza - Monthly subscription,Food
4807,2024-07-27,3.57,Joe's Pizza,Joe's Pizza - Flight booking,Food
4808,2025-07-19,16.03,Starbucks Coffee,Starbucks Coffee - Online purchase,Shopping
4809,2024-01-12,64.91,Mcgrath-Moore,Course fee,Others
4810,2024-01-24,1.7,Stewart and Sons,Taxi ride,Shopping
4811,2024-05-15,3.08,State University,Lunch with friends,Education
4812,2024-10-15,3.14,Local High School,Local High School - Hotel stay,Travel
4813,2024-01-30,15.49,Wilson and Sons,Course fee,Shopping
4814,2024-04-01,9.16,Electric Company,Electric Company - Flight booking,Bills
4815,2024-11-14,5.94,Walmart Supercenter,Online purchase,Shopping
4816,2024-03-26,8.26,Local High School,Gas refill,Education
4817,2026-01-07,25.02,Netflix Streaming,Netflix Streaming - Taxi ride,Entertainment
4818,2026-03-07,51.89,Electric Company,Electric Company - Gas refill,Bills
4819,2024-11-03,8.76,Spotify,Spotify - Online purchase,Entertainment
4820,2023-12-06,9.62,City Hospital,Lunch with friends,Utilities
4821,2026-03-25,14.12,Spotify,Hotel stay,Travel
4822,2024-01-01,18.62,Amazon Marketplace,Prescription purchase,Shopping
4823,2023-11-06,10.65,City Hospital,City Hospital - Flight booking,Shopping
4824,2024-10-20,117.25,"Moreno, Miles and Leblanc","Moreno, Miles and Leblanc - Lunch with friends",Utilities
4825,2026-01-09,50.46,"Sparks, Brown and Henderson",Course fee,Bills
4826,2024-12-18,9.75,City Hospital,City Hospital - Gas refill,Bills
4827,2024-04-04,9.99,Local High School,Prescription purchase,Education
4828,2025-01-05,62.64,City Hospital,City Hospital - Prescription purchase,Transport
4829,2026-04-03,13.16,Lyft,Lyft - Lunch with friends,Transport
4830,2026-01-10,101.75,Netflix Streaming,Gas refill,Entertainment
4831,2025-06-01,21.75,Hart LLC,Grocery shopping,Shopping
4832,2025-09-18,33.54,Mall Outlet,Mall Outlet - Online purchase,Travel
4833,2025-03-30,47.3,Joe's Pizza,Online purchase,Food
4834,2025-05-06,15.66,Local Taxi,Online purchase,Travel
4835,2025-03-18,1.31,Local High School,Local High School - Lunch with friends,Education
4836,2025-03-19,30.0,Gas Station,Taxi ride,Bills
4837,2024-06-22,44.05,Gould PLC,Gould PLC - Prescription purchase,Bills
4838,2024-11-21,16.02,Spotify,Hotel stay,Travel
4839,2024-06-30,11.31,Waterworks,Waterworks - Monthly subscription,Bills
4840,2024-04-28,92.67,Murray-Mendoza,Murray-Mendoza - Monthly subscription,Food
4841,2024-09-12,78.43,Delta Airlines,Flight booking,Travel
4842,2025-10-07,54.88,"Rivera, Walker and Morales","Rivera, Walker and Morales - Taxi ride",Travel
4843,2026-08-29,1.15,Uber Eats,Taxi ride,Transport
4844,2024-07-13,10.28,Hilton Hotels,Hilton Hotels - Lunch with friends,Travel
4845,2025-07-07,11.37,Walmart Supercenter,Walmart Supercenter - Electric bill payment,Shopping
4846,2024-02-21,61.51,Gas Station,Online purchase,Bills
4847,2025-10-23,16.95,Uber Eats,Uber Eats - Course fee,Transport
4848,2023-12-25,11.11,Sanchez-Jefferson,Sanchez-Jefferson - Hotel stay,Travel
4849,2025-07-20,47.03,Gas Station,Gas Station - Taxi ride,Bills
4850,2023-10-25,107.57,Delta Airlines,Course fee,Travel
4851,2023-11-01,26.3,CVS Pharmacy,CVS Pharmacy - Course fee,Health
4852,2024-08-17,15.73,City Hospital,City Hospital - Online purchase,Shopping
4853,2026-07-02,5.97,Perez-Romero,Perez-Romero - Prescription purchase,Others
4854,2024-08-15,46.55,Joe's Pizza,Joe's Pizza - Monthly subscription,Food
4855,2024-03-14,51.92,Netflix Streaming,Netflix Streaming - Grocery shopping,Entertainment
4856,2026-05-19,137.79,Hilton Hotels,Hilton Hotels - Flight booking,Travel
